,a,b,Clicked,Color,Link Color
148,Wednesday,4,11,#646464,#FFE873
149,Wednesday,5,18,#646464,#FFE873
150,Wednesday,6,47,#646464,#FFE873
151,Wednesday,7,35,#646464,#FFE873
152,Wednesday,8,67,#646464,#FFE873
153,Wednesday,9,69,#646464,#FFE873
154,Wednesday,10,75,#646464,#FFE873
155,Wednesday,11,52,#646464,#FFE873
156,Wednesday,12,47,#646464,#FFE873
157,Wednesday,13,47,#646464,#FFE873
158,Wednesday,14,36,#646464,#FFE873
159,Wednesday,15,33,#646464,#FFE873
160,Wednesday,16,42,#646464,#FFE873
161,Wednesday,17,49,#646464,#FFE873
162,Wednesday,18,45,#646464,#FFE873
163,Wednesday,19,51,#646464,#FFE873
164,Wednesday,20,44,#646464,#FFE873
165,Wednesday,21,37,#646464,#FFE873
166,Wednesday,22,47,#646464,#FFE873
167,Wednesday,23,25,#646464,#FFE873
0,0,blast,8,#FFE873,#FFE873
1,0,bonus,6,#FFE873,#FFE873
2,0,campaign,1,#FFE873,#FFE873
3,0,embracing,4,#FFE873,#FFE873
4,0,exciting,8,#FFE873,#FFE873
5,0,fhc,14,#FFE873,#FFE873
6,0,free,20,#FFE873,#FFE873
7,0,friends,1,#FFE873,#FFE873
8,0,kongsi,1,#FFE873,#FFE873
9,0,love,15,#FFE873,#FFE873
10,0,melangkah,4,#FFE873,#FFE873
11,0,new,11,#FFE873,#FFE873
12,0,premium,1,#FFE873,#FFE873
13,0,prizes,2,#FFE873,#FFE873
14,0,protect,1,#FFE873,#FFE873
15,0,shopee,11,#FFE873,#FFE873
16,1,blast,4,#FFE873,#FFE873
17,1,bonus,4,#FFE873,#FFE873
18,1,campaign,3,#FFE873,#FFE873
19,1,cashback,4,#FFE873,#FFE873
20,1,embracing,1,#FFE873,#FFE873
21,1,exciting,8,#FFE873,#FFE873
22,1,fhc,8,#FFE873,#FFE873
23,1,free,11,#FFE873,#FFE873
24,1,love,13,#FFE873,#FFE873
25,1,melangkah,2,#FFE873,#FFE873
26,1,new,7,#FFE873,#FFE873
27,1,prizes,1,#FFE873,#FFE873
28,1,protect,1,#FFE873,#FFE873
29,1,shopee,3,#FFE873,#FFE873
30,2,blast,1,#FFE873,#FFE873
31,2,bonus,5,#FFE873,#FFE873
32,2,campaign,1,#FFE873,#FFE873
33,2,cashback,1,#FFE873,#FFE873
34,2,exciting,4,#FFE873,#FFE873
35,2,fhc,4,#FFE873,#FFE873
36,2,free,9,#FFE873,#FFE873
37,2,love,4,#FFE873,#FFE873
38,2,new,1,#FFE873,#FFE873
39,2,prizes,1,#FFE873,#FFE873
40,2,shopee,1,#FFE873,#FFE873
41,3,bonus,3,#FFE873,#FFE873
42,3,embracing,1,#FFE873,#FFE873
43,3,exciting,1,#FFE873,#FFE873
44,3,fhc,6,#FFE873,#FFE873
45,3,free,4,#FFE873,#FFE873
46,3,love,6,#FFE873,#FFE873
47,3,melangkah,1,#FFE873,#FFE873
48,3,shopee,2,#FFE873,#FFE873
49,4,blast,1,#FFE873,#FFE873
50,4,bonus,10,#FFE873,#FFE873
51,4,campaign,1,#FFE873,#FFE873
52,4,cashback,2,#FFE873,#FFE873
53,4,embracing,1,#FFE873,#FFE873
54,4,fhc,8,#FFE873,#FFE873
55,4,free,4,#FFE873,#FFE873
56,4,love,3,#FFE873,#FFE873
57,4,melangkah,1,#FFE873,#FFE873
58,4,premium,1,#FFE873,#FFE873
59,4,shopee,2,#FFE873,#FFE873
60,5,blast,2,#FFE873,#FFE873
61,5,bonus,7,#FFE873,#FFE873
62,5,exciting,3,#FFE873,#FFE873
63,5,fhc,10,#FFE873,#FFE873
64,5,free,6,#FFE873,#FFE873
65,5,love,11,#FFE873,#FFE873
66,5,melangkah,1,#FFE873,#FFE873
67,5,new,3,#FFE873,#FFE873
68,5,shopee,3,#FFE873,#FFE873
69,6,blast,11,#FFE873,#FFE873
70,6,bonus,18,#FFE873,#FFE873
71,6,campaign,2,#FFE873,#FFE873
72,6,cashback,1,#FFE873,#FFE873
73,6,embracing,2,#FFE873,#FFE873
74,6,exciting,6,#FFE873,#FFE873
75,6,fhc,16,#FFE873,#FFE873
76,6,free,21,#FFE873,#FFE873
77,6,fulfilment,1,#FFE873,#FFE873
78,6,love,19,#FFE873,#FFE873
79,6,melangkah,2,#FFE873,#FFE873
80,6,new,5,#FFE873,#FFE873
81,6,protect,1,#FFE873,#FFE873
82,6,shopee,10,#FFE873,#FFE873
83,7,blast,11,#FFE873,#FFE873
84,7,bonus,19,#FFE873,#FFE873
85,7,campaign,9,#FFE873,#FFE873
86,7,cashback,3,#FFE873,#FFE873
87,7,embracing,7,#FFE873,#FFE873
88,7,exciting,5,#FFE873,#FFE873
89,7,fhc,23,#FFE873,#FFE873
90,7,free,20,#FFE873,#FFE873
91,7,love,24,#FFE873,#FFE873
92,7,melangkah,9,#FFE873,#FFE873
93,7,new,17,#FFE873,#FFE873
94,7,premium,2,#FFE873,#FFE873
95,7,prizes,1,#FFE873,#FFE873
96,7,protect,3,#FFE873,#FFE873
97,7,shopee,8,#FFE873,#FFE873
98,8,blast,18,#FFE873,#FFE873
99,8,bonus,27,#FFE873,#FFE873
100,8,campaign,2,#FFE873,#FFE873
101,8,cashback,11,#FFE873,#FFE873
102,8,embracing,8,#FFE873,#FFE873
103,8,exciting,19,#FFE873,#FFE873
104,8,fhc,37,#FFE873,#FFE873
105,8,free,35,#FFE873,#FFE873
106,8,fulfilment,1,#FFE873,#FFE873
107,8,kongsi,5,#FFE873,#FFE873
108,8,love,53,#FFE873,#FFE873
109,8,melangkah,6,#FFE873,#FFE873
110,8,new,23,#FFE873,#FFE873
111,8,premium,2,#FFE873,#FFE873
112,8,prizes,3,#FFE873,#FFE873
113,8,protect,2,#FFE873,#FFE873
114,8,reblast,1,#FFE873,#FFE873
115,8,shopee,21,#FFE873,#FFE873
116,9,blast,23,#FFE873,#FFE873
117,9,bonus,27,#FFE873,#FFE873
118,9,campaign,11,#FFE873,#FFE873
119,9,cashback,11,#FFE873,#FFE873
120,9,embracing,10,#FFE873,#FFE873
121,9,exciting,28,#FFE873,#FFE873
122,9,fhc,38,#FFE873,#FFE873
123,9,free,38,#FFE873,#FFE873
124,9,fulfilment,1,#FFE873,#FFE873
125,9,kongsi,4,#FFE873,#FFE873
126,9,love,54,#FFE873,#FFE873
127,9,melangkah,9,#FFE873,#FFE873
128,9,new,19,#FFE873,#FFE873
129,9,premium,5,#FFE873,#FFE873
130,9,prizes,4,#FFE873,#FFE873
131,9,protect,1,#FFE873,#FFE873
132,9,reblast,1,#FFE873,#FFE873
133,9,shopee,23,#FFE873,#FFE873
134,10,blast,23,#FFE873,#FFE873
135,10,bonus,23,#FFE873,#FFE873
136,10,campaign,5,#FFE873,#FFE873
137,10,cashback,7,#FFE873,#FFE873
138,10,embracing,13,#FFE873,#FFE873
139,10,exciting,16,#FFE873,#FFE873
140,10,fhc,35,#FFE873,#FFE873
141,10,free,53,#FFE873,#FFE873
142,10,friends,1,#FFE873,#FFE873
143,10,kongsi,3,#FFE873,#FFE873
144,10,love,56,#FFE873,#FFE873
145,10,melangkah,12,#FFE873,#FFE873
146,10,new,31,#FFE873,#FFE873
147,10,premium,4,#FFE873,#FFE873
148,10,prizes,2,#FFE873,#FFE873
149,10,protect,2,#FFE873,#FFE873
150,10,shopee,16,#FFE873,#FFE873
151,11,blast,17,#FFE873,#FFE873
152,11,bonus,17,#FFE873,#FFE873
153,11,campaign,7,#FFE873,#FFE873
154,11,cashback,5,#FFE873,#FFE873
155,11,embracing,6,#FFE873,#FFE873
156,11,exciting,12,#FFE873,#FFE873
157,11,fhc,39,#FFE873,#FFE873
158,11,free,49,#FFE873,#FFE873
159,11,fulfilment,1,#FFE873,#FFE873
160,11,kongsi,4,#FFE873,#FFE873
161,11,love,34,#FFE873,#FFE873
162,11,melangkah,2,#FFE873,#FFE873
163,11,new,29,#FFE873,#FFE873
164,11,premium,5,#FFE873,#FFE873
165,11,prizes,5,#FFE873,#FFE873
166,11,protect,3,#FFE873,#FFE873
167,11,shopee,22,#FFE873,#FFE873
168,12,blast,20,#FFE873,#FFE873
169,12,bonus,16,#FFE873,#FFE873
170,12,campaign,1,#FFE873,#FFE873
171,12,cashback,7,#FFE873,#FFE873
172,12,embracing,10,#FFE873,#FFE873
173,12,exciting,14,#FFE873,#FFE873
174,12,fhc,30,#FFE873,#FFE873
175,12,free,35,#FFE873,#FFE873
176,12,friends,1,#FFE873,#FFE873
177,12,kongsi,1,#FFE873,#FFE873
178,12,love,25,#FFE873,#FFE873
179,12,melangkah,7,#FFE873,#FFE873
180,12,new,23,#FFE873,#FFE873
181,12,premium,3,#FFE873,#FFE873
182,12,reblast,3,#FFE873,#FFE873
183,12,shopee,11,#FFE873,#FFE873
184,13,blast,14,#FFE873,#FFE873
185,13,bonus,12,#FFE873,#FFE873
186,13,campaign,3,#FFE873,#FFE873
187,13,cashback,12,#FFE873,#FFE873
188,13,embracing,6,#FFE873,#FFE873
189,13,exciting,34,#FFE873,#FFE873
190,13,fhc,29,#FFE873,#FFE873
191,13,free,35,#FFE873,#FFE873
192,13,kongsi,1,#FFE873,#FFE873
193,13,love,29,#FFE873,#FFE873
194,13,melangkah,7,#FFE873,#FFE873
195,13,new,20,#FFE873,#FFE873
196,13,premium,4,#FFE873,#FFE873
197,13,prizes,1,#FFE873,#FFE873
198,13,protect,2,#FFE873,#FFE873
199,13,reblast,14,#FFE873,#FFE873
200,13,shopee,17,#FFE873,#FFE873
201,14,blast,19,#FFE873,#FFE873
202,14,bonus,8,#FFE873,#FFE873
203,14,campaign,6,#FFE873,#FFE873
204,14,cashback,6,#FFE873,#FFE873
205,14,embracing,6,#FFE873,#FFE873
206,14,exciting,20,#FFE873,#FFE873
207,14,fhc,27,#FFE873,#FFE873
208,14,free,31,#FFE873,#FFE873
209,14,friends,1,#FFE873,#FFE873
210,14,kongsi,1,#FFE873,#FFE873
211,14,love,31,#FFE873,#FFE873
212,14,melangkah,9,#FFE873,#FFE873
213,14,new,20,#FFE873,#FFE873
214,14,premium,4,#FFE873,#FFE873
215,14,prizes,1,#FFE873,#FFE873
216,14,protect,4,#FFE873,#FFE873
217,14,reblast,7,#FFE873,#FFE873
218,14,shopee,6,#FFE873,#FFE873
219,15,blast,12,#FFE873,#FFE873
220,15,bonus,5,#FFE873,#FFE873
221,15,campaign,4,#FFE873,#FFE873
222,15,cashback,4,#FFE873,#FFE873
223,15,embracing,5,#FFE873,#FFE873
224,15,exciting,20,#FFE873,#FFE873
225,15,fhc,25,#FFE873,#FFE873
226,15,free,34,#FFE873,#FFE873
227,15,fulfilment,1,#FFE873,#FFE873
228,15,love,42,#FFE873,#FFE873
229,15,melangkah,7,#FFE873,#FFE873
230,15,new,11,#FFE873,#FFE873
231,15,premium,1,#FFE873,#FFE873
232,15,prizes,1,#FFE873,#FFE873
233,15,protect,5,#FFE873,#FFE873
234,15,reblast,3,#FFE873,#FFE873
235,15,shopee,8,#FFE873,#FFE873
236,16,blast,16,#FFE873,#FFE873
237,16,bonus,3,#FFE873,#FFE873
238,16,campaign,10,#FFE873,#FFE873
239,16,cashback,4,#FFE873,#FFE873
240,16,embracing,8,#FFE873,#FFE873
241,16,exciting,30,#FFE873,#FFE873
242,16,fhc,22,#FFE873,#FFE873
243,16,free,29,#FFE873,#FFE873
244,16,friends,1,#FFE873,#FFE873
245,16,fulfilment,1,#FFE873,#FFE873
246,16,kongsi,6,#FFE873,#FFE873
247,16,love,42,#FFE873,#FFE873
248,16,melangkah,9,#FFE873,#FFE873
249,16,new,12,#FFE873,#FFE873
250,16,premium,3,#FFE873,#FFE873
251,16,prizes,6,#FFE873,#FFE873
252,16,protect,6,#FFE873,#FFE873
253,16,reblast,1,#FFE873,#FFE873
254,16,shopee,11,#FFE873,#FFE873
255,17,agents,1,#FFE873,#FFE873
256,17,blast,22,#FFE873,#FFE873
257,17,bonus,8,#FFE873,#FFE873
258,17,campaign,10,#FFE873,#FFE873
259,17,cashback,4,#FFE873,#FFE873
260,17,embracing,4,#FFE873,#FFE873
261,17,exciting,31,#FFE873,#FFE873
262,17,fhc,22,#FFE873,#FFE873
263,17,free,27,#FFE873,#FFE873
264,17,fulfilment,1,#FFE873,#FFE873
265,17,kongsi,3,#FFE873,#FFE873
266,17,love,42,#FFE873,#FFE873
267,17,melangkah,7,#FFE873,#FFE873
268,17,new,13,#FFE873,#FFE873
269,17,premium,6,#FFE873,#FFE873
270,17,prizes,4,#FFE873,#FFE873
271,17,protect,4,#FFE873,#FFE873
272,17,reblast,2,#FFE873,#FFE873
273,17,shopee,13,#FFE873,#FFE873
274,18,agents,1,#FFE873,#FFE873
275,18,blast,4,#FFE873,#FFE873
276,18,bonus,13,#FFE873,#FFE873
277,18,campaign,11,#FFE873,#FFE873
278,18,cashback,1,#FFE873,#FFE873
279,18,embracing,5,#FFE873,#FFE873
280,18,exciting,16,#FFE873,#FFE873
281,18,fhc,21,#FFE873,#FFE873
282,18,free,23,#FFE873,#FFE873
283,18,fulfilment,1,#FFE873,#FFE873
284,18,kongsi,9,#FFE873,#FFE873
285,18,love,46,#FFE873,#FFE873
286,18,melangkah,14,#FFE873,#FFE873
287,18,new,15,#FFE873,#FFE873
288,18,premium,12,#FFE873,#FFE873
289,18,prizes,4,#FFE873,#FFE873
290,18,protect,4,#FFE873,#FFE873
291,18,reblast,2,#FFE873,#FFE873
292,18,shopee,11,#FFE873,#FFE873
293,19,blast,26,#FFE873,#FFE873
294,19,bonus,8,#FFE873,#FFE873
295,19,campaign,8,#FFE873,#FFE873
296,19,cashback,6,#FFE873,#FFE873
297,19,embracing,7,#FFE873,#FFE873
298,19,exciting,25,#FFE873,#FFE873
299,19,fhc,22,#FFE873,#FFE873
300,19,free,37,#FFE873,#FFE873
301,19,friends,1,#FFE873,#FFE873
302,19,kongsi,2,#FFE873,#FFE873
303,19,love,49,#FFE873,#FFE873
304,19,melangkah,5,#FFE873,#FFE873
305,19,new,14,#FFE873,#FFE873
306,19,premium,3,#FFE873,#FFE873
307,19,prizes,1,#FFE873,#FFE873
308,19,protect,4,#FFE873,#FFE873
309,19,shopee,9,#FFE873,#FFE873
310,20,blast,22,#FFE873,#FFE873
311,20,bonus,12,#FFE873,#FFE873
312,20,campaign,8,#FFE873,#FFE873
313,20,cashback,5,#FFE873,#FFE873
314,20,embracing,6,#FFE873,#FFE873
315,20,exciting,23,#FFE873,#FFE873
316,20,fhc,23,#FFE873,#FFE873
317,20,free,44,#FFE873,#FFE873
318,20,fulfilment,1,#FFE873,#FFE873
319,20,kongsi,2,#FFE873,#FFE873
320,20,love,44,#FFE873,#FFE873
321,20,melangkah,10,#FFE873,#FFE873
322,20,new,15,#FFE873,#FFE873
323,20,premium,8,#FFE873,#FFE873
324,20,prizes,1,#FFE873,#FFE873
325,20,protect,3,#FFE873,#FFE873
326,20,shopee,11,#FFE873,#FFE873
327,21,blast,19,#FFE873,#FFE873
328,21,bonus,17,#FFE873,#FFE873
329,21,campaign,6,#FFE873,#FFE873
330,21,cashback,8,#FFE873,#FFE873
331,21,embracing,9,#FFE873,#FFE873
332,21,exciting,16,#FFE873,#FFE873
333,21,fhc,25,#FFE873,#FFE873
334,21,free,36,#FFE873,#FFE873
335,21,kongsi,1,#FFE873,#FFE873
336,21,love,40,#FFE873,#FFE873
337,21,melangkah,11,#FFE873,#FFE873
338,21,new,22,#FFE873,#FFE873
339,21,premium,4,#FFE873,#FFE873
340,21,prizes,3,#FFE873,#FFE873
341,21,protect,1,#FFE873,#FFE873
342,21,reblast,2,#FFE873,#FFE873
343,21,shopee,17,#FFE873,#FFE873
344,22,blast,20,#FFE873,#FFE873
345,22,bonus,21,#FFE873,#FFE873
346,22,campaign,10,#FFE873,#FFE873
347,22,cashback,11,#FFE873,#FFE873
348,22,embracing,5,#FFE873,#FFE873
349,22,exciting,17,#FFE873,#FFE873
350,22,fhc,23,#FFE873,#FFE873
351,22,free,46,#FFE873,#FFE873
352,22,fulfilment,3,#FFE873,#FFE873
353,22,kongsi,1,#FFE873,#FFE873
354,22,love,30,#FFE873,#FFE873
355,22,melangkah,7,#FFE873,#FFE873
356,22,new,19,#FFE873,#FFE873
357,22,premium,5,#FFE873,#FFE873
358,22,prizes,2,#FFE873,#FFE873
359,22,shopee,21,#FFE873,#FFE873
360,23,blast,9,#FFE873,#FFE873
361,23,bonus,14,#FFE873,#FFE873
362,23,campaign,5,#FFE873,#FFE873
363,23,cashback,6,#FFE873,#FFE873
364,23,embracing,2,#FFE873,#FFE873
365,23,exciting,13,#FFE873,#FFE873
366,23,fhc,25,#FFE873,#FFE873
367,23,free,22,#FFE873,#FFE873
368,23,love,21,#FFE873,#FFE873
369,23,melangkah,8,#FFE873,#FFE873
370,23,new,23,#FFE873,#FFE873
371,23,premium,1,#FFE873,#FFE873
372,23,prizes,3,#FFE873,#FFE873
373,23,protect,1,#FFE873,#FFE873
374,23,shopee,8,#FFE873,#FFE873
0,agents,Very Low,,#FABC13,#FABC13
1,agents,Low,4,#FABC13,#FABC13
2,agents,Medium,17,#FABC13,#FABC13
3,agents,High,,#FABC13,#FABC13
4,agents,Very High,,#FABC13,#FABC13
5,blast,Very Low,700,#306998,#306998
6,blast,Low,1630,#306998,#306998
7,blast,Medium,2624,#306998,#306998
8,blast,High,3385,#306998,#306998
9,blast,Very High,1944,#306998,#306998
10,bonus,Very Low,303,#FFE873,#FFE873
11,bonus,Low,756,#FFE873,#FFE873
12,bonus,Medium,1218,#FFE873,#FFE873
13,bonus,High,1344,#FFE873,#FFE873
14,bonus,Very High,873,#FFE873,#FFE873
15,campaign,Very Low,95,#FFD43B,#FFD43B
16,campaign,Low,234,#FFD43B,#FFD43B
17,campaign,Medium,372,#FFD43B,#FFD43B
18,campaign,High,605,#FFD43B,#FFD43B
19,campaign,Very High,243,#FFD43B,#FFD43B
20,cashback,Very Low,225,#646464,#646464
21,cashback,Low,523,#646464,#646464
22,cashback,Medium,878,#646464,#646464
23,cashback,High,1046,#646464,#646464
24,cashback,Very High,711,#646464,#646464
25,embracing,Very Low,305,#F27420,#F27420
26,embracing,Low,709,#F27420,#F27420
27,embracing,Medium,1088,#F27420,#F27420
28,embracing,High,1692,#F27420,#F27420
29,embracing,Very High,1089,#F27420,#F27420
30,exciting,Very Low,668,#4994CE,#4994CE
31,exciting,Low,1624,#4994CE,#4994CE
32,exciting,Medium,2636,#4994CE,#4994CE
33,exciting,High,3257,#4994CE,#4994CE
34,exciting,Very High,1935,#4994CE,#4994CE
35,fhc,Very Low,1820,#FABC13,#FABC13
36,fhc,Low,4676,#FABC13,#FABC13
37,fhc,Medium,7185,#FABC13,#FABC13
38,fhc,High,9687,#FABC13,#FABC13
39,fhc,Very High,6219,#FABC13,#FABC13
40,free,Very Low,1292,#7FC241,#7FC241
41,free,Low,2913,#7FC241,#7FC241
42,free,Medium,4716,#7FC241,#7FC241
43,free,High,6278,#7FC241,#7FC241
44,free,Very High,3321,#7FC241,#7FC241
45,friends,Very Low,316,#D3D3D3,#D3D3D3
46,friends,Low,683,#D3D3D3,#D3D3D3
47,friends,Medium,1035,#D3D3D3,#D3D3D3
48,friends,High,1504,#D3D3D3,#D3D3D3
49,friends,Very High,990,#D3D3D3,#D3D3D3
50,fulfilment,Very Low,5,#FFD43B,#FFD43B
51,fulfilment,Low,13,#FFD43B,#FFD43B
52,fulfilment,Medium,28,#FFD43B,#FFD43B
53,fulfilment,High,22,#FFD43B,#FFD43B
54,fulfilment,Very High,9,#FFD43B,#FFD43B
55,kongsi,Very Low,71,#4B8BBE,#4B8BBE
56,kongsi,Low,177,#4B8BBE,#4B8BBE
57,kongsi,Medium,331,#4B8BBE,#4B8BBE
